family,Genus
Pomacentridae,Abudefduf
Acanthuridae,Acanthurus
Gobiidae,Amblygobius
Haemulidae,Anisotremus
Ariidae,Ariopsis
Balistidae,Balistes
Sparidae,Boops
Lutjanidae,Caesio
Balistidae,Canthidermis
Carangidae,Carangoides
Carcharhinidae,Carcharhinus
Chaetodontidae,Chaetodon
Pomacentridae,Chromis
Labridae,Coris
Haemulidae,Diagramma
Diodontidae,Diodon
Echeneidae,Echeneis
Haemulidae,Haemulon
Labridae,Labroides
Ostraciidae,Lactophrys
Labridae,Leptojulis
Muraenidae,Muraena
Serranidae,Mycteroperca
Sparidae,Oblada
Lutjanidae,Ocyurus
Mullidae,Parupeneus
Blenniidae,Plagiotremus
Salmonidae,Salmo
Sparidae,Sarpa
Nemipteridae,Scolopsis
Carangidae,Scomberoides
Scyliorhinidae,Scyliorhinus
Serranidae,Serranus
Scaridae,Sparisoma
Sparidae,Spondyliosoma
Lutjanidae,Symphorus
Labridae,Thalassoma
Carangidae,Trachinotus
Trichechidae,Trichechus
Urotrygonidae,Urobatis
Acanthuridae,Zebrasoma
